"PG.ProteinGroups","C_1","C_2","C_3","C_4","C_5","C_6","C_7","C_8","C_9","AA_1","AA_2","AA_3","AA_4","AA_5","AA_6","AA_7","AA_8","AA_9"
"A0A087X1C5;A0A1B0GTQ1;P10635",-1.55406120024556,-1.74955504723195,-1.5045403529928,-1.81043708624145,-1.30439740655607,-1.85764896596844,NA,-2.4138284174012,-1.52825138536015,-0.715022052502178,-0.489163004543887,-1.14980777171883,-0.752542627302319,-0.225565574785607,-0.883996792204417,-0.771900305665314,-0.778595519153297,-0.128166681484235
"A0A0G2JMD5;O60809;Q5VTA0",1.46840974028852,1.1082035768016,1.44779906782493,-0.211389801320601,0.902658170894879,0.670988174455225,1.00692580587108,0.783590713897164,0.965278402374553,-1.19112556002035,0.290626651143864,0.555554976008816,0.487919417702956,0.517964587024569,0.268002492498804,-0.0105750203852484,0.183821188620684,0.367838511836739
"A0A8I5KW96;P27144",NA,-3.14360247438686,-5.07815238944772,-4.36663382762337,NA,NA,-5.14441239838084,NA,-4.6968716787428,-3.49274676697984,-3.5480485912134,-3.31540702731382,-2.69469694616808,-2.60235562162659,-3.54869612701931,-2.69361671871651,-4.42948987630056,NA
"A0AVT1",-2.64899299592401,-2.62117181141977,-3.31560333681283,-3.5468700936778,-3.24790142565311,-3.08959435462338,-2.87278242963808,-2.65634466788583,-3.0389236150925,-2.90458416378155,-2.27087583071451,-1.83835347399501,-2.03618404670401,-2.12037467972362,-2.44965190846953,-2.3955285065738,-2.22554548540374,-2.37497486836101
"A0AAG2UXZ5;P39060",1.54869107978281,1.30538211873605,1.43545873702905,0.970406370085993,1.19376382594864,0.678205619681403,1.33629835453767,0.473138263191558,1.02713215391742,0.50543080510052,1.44203693118045,1.15444381994092,1.5696905809815,1.49665721505251,1.34221564383583,1.01583672883657,1.43250567523815,1.26917913111764
"A6NCE7;Q9GZQ8",0.556730590434551,0.972534147152528,1.56201271910178,0.745331698220868,1.1468337224689,0.509443148668497,1.04366166920293,0.627154322897296,0.724697306951928,1.58059965841581,1.80455076091504,1.90682734081191,2.62646706734342,2.36375603283331,2.41631520722504,2.12362113067098,2.42733116174099,2.11178922239225
"A6NDG6",-0.525434591570857,-0.185332326604458,-0.212699807697916,0.317978819815441,0.124539197310787,-0.0646678901024824,0.336995629128857,0.534746536791934,0.0693246621044423,0.464619075726427,0.559080563997338,0.591205721130063,0.780488176602354,0.818567506179068,0.430901319485034,0.620706696040571,0.507400328111967,0.604240463426407
"A6NHL2",-0.870645064906744,-0.905169262976192,-1.04764839062264,-0.751361673028061,-1.5505232032997,-0.790554702530157,-1.62440477332071,-1.02405330605927,-0.814630583640217,0.81145039455415,-0.311232696146231,-0.307530874446972,-1.60431089322217,-0.260279977371942,0.175206899361115,0.0141442835440611,-0.518126893702476,-0.733614223638932
"A6NJZ7;A6NNM3;Q9UFD9",-2.50363546249817,NA,NA,NA,NA,-1.92233263931273,NA,NA,-5.13338419592018,-0.698761080368469,-1.89176916874997,-1.60327700143269,-2.53738037206096,NA,-2.86913223725632,-1.64766255278164,NA,NA
"A8MWD9;P62308",0.571698012567778,0.110790170598747,0.531154145898784,0.158176608703704,0.0728802452244448,-0.128774176013257,-0.741013444046255,-0.778658783348323,-0.726420102383154,0.791544624009811,0.174811023502683,0.608674847843766,-0.536908090954872,-0.312119722942393,-0.0484769656171284,0.280300405041595,-0.675663090186087,-0.260178818343819
"A8MXV4",-3.31085395106122,NA,-4.15821819044193,NA,NA,NA,-3.24725768672851,NA,-4.30328065920999,-2.24050941693295,-2.88065012645902,-2.68373079764385,-3.24133593889215,-2.98604850481238,-3.08912221484656,NA,-1.86809102838363,-2.94778234209384
"A9QM74",-1.98039986827874,-1.41249300416585,-1.65307704086721,-1.6927259740952,-3.61091768999263,-2.54743386623847,-1.56016504286774,-1.36301309615679,-2.91664519950947,-2.42216598362208,-0.868927946885829,-0.230783353593344,-0.862712421964915,-1.52828504839978,-1.01622632075836,-1.10012108340078,-0.801005689734041,-1.99097748080148
"B9A064",2.54422213038066,2.97809784217437,2.06426790565826,1.52300127978504,2.79433737661113,2.29794493891626,2.75497952877395,3.02999971239419,2.47720949706803,1.86345706730623,1.11680548404112,1.19065999416178,1.40671126425426,1.4456564680959,1.7524006510934,0.338351137925805,1.37609939497332,-0.175852663254782
"C9J202;Q9BT22",20.1536365183352,10.0789427504488,9.35805704433569,19.7974838461582,10.176445643192,10.0876248868134,9.65589841635099,10.3094809689157,10.0525075186972,9.75113160438218,9.43228812772182,9.44398218148867,9.24845295905491,9.8039032803256,19.5718854408797,20.0507805328923,19.7585097856354,9.85793953608256
"E9PAV3",1.01926111250187,0.519751406389686,0.923370635792331,0.992828712421513,0.523046196014878,0.949002340457774,0.773533403147969,0.539713433348505,0.455292170972635,1.5188366708018,1.4499909609331,1.42438208504736,1.10949344211215,1.4885643262145,1.00902432403872,1.14863489703614,0.902437600003818,0.427112491863893
